"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","6,194,268,044.637255871","No"
"0xeaed594b5926a7d5fbbc61985390baaf936a6b8d","2,280,360,748.106292193","No"
"0x97eca8f333a329063df9d4422e04db222d943f38","331,831,251.457064916","No"
"0x91f9d63f61ea924a3a2da9dc4ceaa7422248e2dc","323,772,122.624028732","No"
"0x70ab3e18ffb6944bef4a8d9e742b09b32318cec8","278,457,414.851885241","No"
"0x00cd40451993ba123ac21a30f4f5a77843c25cef","276,848,376.448133238","No"
"0xfee5270e4b04996e2a40ad78f49c94d134451fc7","261,977,049.632231236","No"
"0x31e4286de26215c2e790732dc8ec78af36c338a7","207,551,336.339101511","No"
"0xf86cfcb9f49906a0f4cf6cd7151781752df9e199","190,294,170.410526944","No"
"0x8eee81574343cec494801d3525bd55675ea02706","175,733,793.401694223","No"
"0xf80da892bb1ba74484090122c20d237c24d68277","150,475,381.23","No"
"0x97511cfd7a92f2089ebed4825ddaffd13416d734","113,178,575.323070235","No"
"0x47b873b570376ed57632dbae954dc6ba043c4ca5","108,403,974.065788536","No"
"0xa5cbf5bc41b76ee9875778ddd4905c6fa4ed47c8","106,910,608.63563121","No"
"0x6f43caad9b39cf87dfb01dba07693e001b8baeb0","102,706,564.20226946","No"
"0x0aa6a30017cd6c0f704968eb9bdb1eb353dcca4e","101,808,474.334671128","No"
"0xc068139332f8b85527b5f3eca53f7e804caa6bfd","100,368,481.716805494","No"
"0x8ff68f610efb730d5cad4460be1ea2bfde69800c","94,874,998.509150051","No"
"0x46459c8ec8d81ebcb773e74e91eeab952e939a63","92,100,572.4914423","No"
"0x89692f761d3b0686dbfd7064ada030cf43feb161","86,285,032.270992687","No"
"0xe8e98a435576d94870739b0de03236182d1cbd34","85,506,980.427679708","No"
"0x7e58c625af1b40f8aa5c89636c49052b213dfc22","84,622,554.677065565","No"
"0x6cb129ffe2e5a23e8d583a9fe6d98aa48fafdc85","84,137,546.135671449","No"
"0x80177c806cf05c5b140a6a304b2b11d61a1bba50","83,769,284.664854666","No"
"0xc7f86b54ba7ee572b466af28e3100780736c5934","83,704,730.758717576","No"
"0xc44dcce3288d2a33398d0bf05e96a3fcc36f1f53","83,003,391.897986863","No"
"0x238562f22ddc8a45ee1ff01aa446e6ae6f75c424","82,596,729.54582352","No"
"0x0afdb827d8db3943a8146f3ff7fa09816192c026","82,048,354.435785135","No"
"0x4cdd38e2ee609baa0858771756cb08c07d5f2adf","81,409,629.186712699","No"
"0x12a8c3378065aa100ca425baa1d4bdbe55bb1bae","79,314,246.823155142","No"
"0xc9d04867777b585a78adfc5b645c44f9a243a4fa","78,541,048.990719939","No"
"0x9d4d1ad5b60fcdef788901aa7f9e602cefff42e9","77,762,370.148027769","No"
"0xef216b43d0ac20f414fd1002d5da2f28aeb006de","77,699,576.721666471","No"
"0xe3861b680dbed5e46d34fadf26f56e4ee090992a","76,956,633.079946762","No"
"0x4290ffdfd9179684ce2cdab0186b216aa2b12437","74,069,879.680832692","No"
"0x807afe36c151f10cb445572a4352d51c0e6d81a8","73,997,377.057209984","No"
"0x8a5c09118b70ff60d5ae6f3aa24331f099944d3d","72,495,002.102308802","No"
"0x73629e49dc282ef1fc7aa7a58722c45bbb3496fc","70,647,117.202102078","No"
"0xc446a1e68193f3baac16f761d5a5bb13e3a336a8","70,428,893.130756644","No"
"0x14588376cc229e5f7195f0b6e7dffabcfdbe61ea","69,703,659.572972681","No"
"0xd6b746c06785c5a888e566b951104c3b520191fc","67,808,198.563341741","No"
"0x8311020957071c99d27f85b1198d6c596fe1c130","60,427,946.875387459","No"
"0x49ca173bbd19094bacd55bdb81a719ba47cef1bc","60,015,490.067692055","No"
"0x0fa956030702fbf3d25da3fac9eb7516bb0ca529","56,200,857.462228159","No"
"0x5692caf77faf54948adacb2a92820650c25e5ccb","55,524,891.795995415","No"
"0xc646ea299ec32cd4344f8bda084a7cf81d8d13f3","54,414,620.447346641","No"
"0xdee6ac57f1f36f9bd0e012841f116793e3c870e4","51,059,971.438627261","No"
"0xa51956bb17d54fe3f1e50ed1bf70dd2f799dbdc9","51,010,640.397930423","No"
"0xcd0ea1b13bb47665b44689e0da90ec60c03df0ab","50,875,570.15283117","No"
"0xac43d8586bb0809f9329bec1e21796cded4c3a76","50,806,616.290608833","No"
"0x51c77f22097b86972dded87e8923e6afd2ac954a","50,789,691.450204217","No"
"0x201f6eedcb2e94e87a253946dc40b60543b33f91","50,057,110.049348684","No"
"0x4ec0b7d3fb03520dbdaf61ba6a9e91266dfe664b","49,450,907.490752176","No"
"0x9230ad1de90a4ba9465761b5b350a3e6d8642980","49,247,728.193919605","No"
"0xdbcee0d73f070e99cf31e6ec60dcee01d35969f5","49,151,293.570845663","No"
"0x9a73033ac3ce81f1ddccb3f4e3fe357ce7f8c131","48,522,136.575143372","No"
"0xdde24499ab7be96511b599ab8eb89dbfd19e07b3","47,579,677.328348487","No"
"0xc7eea14a787da3a50bcc8e70c4a69c13c5c15524","45,074,333.247967247","No"
"0x72a93c1451bbe3c2f3c2289c2c4120a143c34b88","43,328,081.518662513","No"
"0xbb7f29c2a36f8ff92a4a34bce371ab8a0e30dc4b","41,405,675.835330352","No"
"0x95e3ee5b384d9a873b2d95767b76dd044384b81b","41,205,490.387471165","No"
"0xe5bf72712d7a26c6b205bf0a9ad6abb256815dc6","40,329,030.579390976","No"
"0x57214bbfb46b95b37e681561f6772e6cbaa3e9dd","40,119,435.66474892","No"
"0x09572ab0d41570b3ba8cf3f617ebb1886e78888e","40,002,083.152061163","No"
"0x68d82291a12ef83878d2f501d573a3dd3b04854d","39,535,730.489210809","No"
"0xf67dd8795749e66271c7db6ac09ed8f494f1b032","39,057,319.050754341","No"
"0x99ebd43e8bfb51154a4953a029ebc0caf0f9c267","38,144,031.10190689","No"
"0xf332da806df5bf7ba6b494874660462b3251fc9c","38,044,867.922827639","No"
"0x2a975590f76a128bd15aa702873adb2ca052a55c","36,030,872.43258522","No"
"0x93706f8fd815a9a74ebf72ea1958bf8fb1e41511","35,928,807.691889046","No"
"0x35ff0b4fe001c25694ddd113ea1a3e027f8754c5","35,888,869.5233273","No"
"0x913e777b4e8a026be4a255287e5ec21691de6857","35,815,374.823423457","No"
"0x5f396c96aa9cfa125e6b175950f09e21e2535d5a","35,452,922.782085237","No"
"0x0dd4a475ab9bd941c0ef44cfb1f562364a2e289b","34,615,691.980409289","No"
"0xeaa6eb61c03681b9c94937dbc599e590f99c5d44","33,456,278.117831401","No"
"0x8efee420492a5e2f296f47c63b6897cbd3ae2e5d","33,171,977.139210163","No"
"0xb616de97410ea85c2cf722db029c101116e48a30","33,160,090.028707868","No"
"0xf544eca1178c21475b5d1c79b1c1499487437238","32,288,162.134426117","No"
"0x6ce3d0c51804bad8e43609ea4192babb901725cc","31,836,567.755204292","No"
"0x4095ec413a4932515ea0f0f282e4c0e4117821d7","31,817,561.650767998","No"
"0xca33354be6b6875456ed7e1140142ca784c5fe00","31,470,849.95432801","No"
"0x1e8004f2b01f0235948c9fb027f6148fcc9ebbc1","31,225,573.236382498","No"
"0x4d235d43764ab9f6378147337520d572e0c7e551","31,211,511.542036568","No"
"0x69a43493054356b79ec3a5360f5a94f8a73e137f","30,780,874.318167932","No"
"0xaf751d20cdf7a461e8c997d8a5d6c4985693b2ba","29,001,773.651266045","No"
"0x4bf87c3c05ddf17fae102a3cc759c656b6c8a21e","28,426,174.592863354","No"
"0x22857cd9b9576124796abc9f010e11e7d9f25aba","28,339,627.727121112","No"
"0xa7d384a4b6c010526a69efa668fb52ec7bf588fe","28,297,893.75778376","No"
"0xe6bdc74dd33d639aa791dd16ea39142c86889157","27,335,078.432050906","No"
"0xa7eeaaf1b50ee18efe30dc1358c61a7930d7156e","27,264,052.315352173","No"
"0xf432b1d6a9e93bb1ffae5430a325408cf96db167","27,209,780.983164021","No"
"0x359514e8b775fbbcb82c63b5b2d0b66ce5eaeee5","26,210,650.068863214","No"
"0x78a2fedc9af115caa732c558eb277d4b867014b6","25,866,846.486018326","No"
"0x2bac9cfee4e92c27754e9fce2142feee225c6344","25,832,635.540425344","No"
"0x5bc4270735770a9216f5739e409599301c8a2d05","25,255,424.369664387","No"
"0xd17891cae19579665acb3ce4c73be0b6cd1a3ae3","25,254,333.038538797","No"
"0x913400bae1d7a5b86a670286ca0889ff4b4c3d60","25,115,482.405188115","No"
"0x0063149d492a5509d8b11b6b5d07666566a3494e","24,920,194.011066092","No"
"0xd5c58f7fee0e886adf3c8efa831c45538a030d3a","24,501,552.728419518","No"
"0x3c47450db5ff68c07195ec1002454921dad566b4","24,410,741.016177954","No"
"0x27d9096a890feacfd378df7319b41e16cae5c697","24,116,019.181194497","No"
"0x5d2fb1dc017d3041aaa110b91e7b5ea41a5a8217","24,060,812.303658428","No"
"0x023eacc4964847d2b9f33c2dc5c58416f403c838","23,945,399.423951993","No"
"0x71488e6de350158c5cd8be84a3639d33e36d824a","23,887,707.726283891","No"
"0xd7843f54432676e812d4ecd9aadd3bdf91909339","23,263,734.915934121","No"
"0xe6710306f5bef95bdb853549ca7cb5e8fcee3318","23,071,152.90811428","No"
"0xb2371c7b6a3e2795876504fe0ce2140854858af1","23,010,645.90548926","No"
"0xfd7e715c5b8d12326259a1de6c8b9f50e0c6c632","22,853,956.099356129","No"
"0xcbefeb89cc89134f6db35b71a339eccd682f3250","22,822,923.673178649","No"
"0x38d289084020e437aeb628ae6852bc908b4b387b","22,693,656.402836075","No"
"0x3797603eb6b6eb7f4b8236385099d9ebef68dccb","22,615,513.973446203","No"
"0x36a43579901bc5c31a74b47691d7b4d3dc2bf575","22,609,531.007050862","No"
"0x538c1e966bb7714385214d5876cac1edce65fd88","22,535,213.342834661","No"
"0x1ae1aad11c540adeb9aa2da366afb5eef7773a6e","22,529,435.871205613","No"
"0xe1a0545b0bd326dd641d73c61df1a30364496d31","22,017,592.369613028","No"
"0x9e3399efb5669e7633201bd7c9c13ebc4844eca7","21,960,200.286871397","No"
"0xe351c18709352bdf4b739506579b221f7b0a0811","21,502,389.24424402","No"
"0xe971b9e14c01f8a59813aef81a57edb87bd462bc","21,239,981.791417609","No"
"0x478c88189ef6d44800381632cb9e6052ae02361b","20,785,134.147812575","No"
"0x14fa366cc9aa52b80318f6d1b344233e5052c207","20,730,431.965641053","No"
"0x974b34f4d1e630595e374facd5c07d2c2da7f0f1","20,550,957.519496381","No"
"0xfc1f9107590fd17fe47199e36ba8105772657e9c","20,341,580.236013326","No"
"0x3e7fc77a235376d7e97b669c57b4e673c1a2688e","20,141,996.655340508","No"
"0x8e9bf8b920b812ab97e51f918bc697121f0b9611","20,126,412.796915192","No"
"0xc809a56bbcb076d91027bcc0f1aad0061d9b1134","20,094,261.215659323","No"
"0xc3ff1ca096ec7c3eb8f515b052b9a79b947412db","19,921,790.848000092","No"
"0xf220ce1d8ec5913a64fb2b69956c69ce8a0a1b35","19,399,112.775988303","No"
"0xf302facc42d80ce0b0ed0ba927dae56b84ddad84","18,066,175.942342664","No"
"0xe9f6872eda670adefdb9e8d0826d306c6187b5da","18,010,860.080363159","No"
"0x13cbe0d86e537001b0a898f04685c8961bbc3e81","18,000,364.62323081","No"
"0xec5ccc6c1013ae1f57cc9b94cc168069be49032f","17,746,063.145524994","No"
"0x017a9d501eece368a29cd826c51a6caa3fd91dc1","17,432,063.625706038","No"
"0x0000000000000000000000000000000000000000","17,262,495.598821845","No"
"0xb9a4a358c2b61d9bc5773a90b68c67488c86479d","17,016,729.104403635","No"
"0x0fbe392d92ae7e033afb175a2344176d6538d639","16,949,184.612415621","No"
"0x949a045865b7e0f0b8bf6cd7747a725381647514","16,748,641.510055969","No"
"0xf9a3305e27b2f4e30680c5b45bed8e25e0ca98a0","16,618,338.60628227","No"
"0x4874877b23935d0a6195d8a7205456edd222eb6f","16,576,007.566367043","No"
"0x4ba04f007805cd90a9eeb6b381194c5149054dfd","16,188,650.954034772","No"
"0xff24c7f6328ef8adc01b82b16f9db3096186ad0e","16,134,599.517997026","No"
"0xce68c06ed264fec4c8c3ed5a56144f39afb72b8a","15,842,551.499707409","No"
"0x4d5dd4f6f0d0f5981fa18797cdc38d43b192c3d4","15,587,900","No"
"0x9fdd654c4212b0d87a62bbae269f2bb2fb50580b","15,171,443.241811532","No"
"0x706a7da0d03241b99fd7a65eed697e24fdb18b5b","15,066,624.793904363","No"
"0x40df57be48aea1376885b4b00dd3ae5893675638","14,964,864.452807169","No"
"0xdb04b75d97ed7e516c6f3a4d6a685b1b5a86b9e3","14,945,551.629169011","No"
"0xbcd97a0c407c2d9acc139f9db0b8b3201fe43daf","14,808,736.328721191","No"
"0x13b5b8d91be07ebacf2839167d0727e661e665f6","14,806,475.183954179","No"
"0x2a90c34343227efbb3d9865d19534761a47c5557","14,805,047.027551166","No"
"0xf13c299915732dc342589292962775d5f1a1a892","14,793,199.3642949","No"
"0x95049b3bed182a10e9da99dd64b05c732b8f5714","14,761,302.725556224","No"
"0xba64807359d3071b91d512f7f9a9aff3aad1487b","14,688,106.598735989","No"
"0x26479b1f3b997a720add5a74913f1c043a7f27f4","14,583,612.320505312","No"
"0x56de96370e9645d3853f5144e4afcb27ad4c9f3f","14,478,555.526106514","No"
"0x777df253f191712ad6be2ef2822debaa9d345657","14,105,390.309944169","No"
"0xa5720f0dae50d465d5a151bc25501bb9e5c85e4f","14,021,143.270548588","No"
"0x1fa448006a82884c92149fd10d5b30383f003e77","13,925,033.814393755","No"
"0x7e4ce29cee3cc73b14ba4a45a2983a172018f847","13,700,081","No"
"0xc246ee9854a159cdb072954c4aec73d56eb58f13","13,640,018.205311943","No"
"0xca7202cbae85fda61342db9a345efb5b41a340a0","13,476,918.039434496","No"
"0x0d6d251710e1494984e64297c41a2dedfd9a1adb","13,358,093.217398289","No"
"0x336ed3c3340847fd02eeb7dbcc348b1f6f3d5a15","13,355,404.3112193","No"
